DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2014,3.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2015,2.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2016,3.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2017,2.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2018,2.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2019,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,DK,2020,2.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA18,2009,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA18,2010,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA18,2011,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA18,2012,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA18,2013,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA18,2014,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA18,2015,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA18,2016,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA19,2009,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA19,2010,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA19,2011,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA19,2012,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA19,2013,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA19,2014,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA19,2015,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EA19,2016,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2009,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2010,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2011,2.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2012,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2013,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2014,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2015,2.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2016,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2017,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2018,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2019,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EE,2020,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EL,2009,1.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EL,2010,1.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EL,2011,1.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EL,2012,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EL,2013,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EL,2014,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EL,2015,1.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EL,2016,1.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EL,2017,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2009,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2010,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2011,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2012,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2013,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2014,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2015,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2016,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2017,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2018,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2019,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,ES,2020,1.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2007,2009,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2007,2010,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2007,2011,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2007,2012,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2007,2013,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2007,2014,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2007,2015,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2007,2016,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2009,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2010,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2011,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2012,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2013,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2014,1.8,
